06:05:55 [AI Object Patrol] Generating an example config...
06:10:51 [Expansion Quests] - SetupClientData - Loaded existing player quest data for player with UID: qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=
06:10:51 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 20 - Creator UID: qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=
06:10:51 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 23 - Creator UID: qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=
06:15:54 [MissionAirdrop] An airdrop is heading towards "Stein" (pos=<4619.000000, 0.000000, 7618.000000> type=Random_Stein) with a ExpansionAirdropContainer_Basebuilding
07:08:52 [Market] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=) has send a requested to sell platecarrierpouches x1 at the trader "Clothing (Linda [#STR_EXPANSION_MARKET_TRADER_CLOTHING])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
07:08:52 [Market] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=) has sold platecarrierpouches x1 at the trader "Clothing (Linda [#STR_EXPANSION_MARKET_TRADER_CLOTHING])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 80.
07:09:11 [Market] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=) has send a requested to sell mmg_mk_iii_armor_ucp x1 at the trader "Clothing (Linda [#STR_EXPANSION_MARKET_TRADER_CLOTHING])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
07:09:11 [Market] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=) has sold mmg_mk_iii_armor_ucp x1 at the trader "Clothing (Linda [#STR_EXPANSION_MARKET_TRADER_CLOTHING])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 2750.
07:16:34 [Market] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=) has send a requested to purchase mmg_supplybag_black x1 from the trader "Clothing (Linda [#STR_EXPANSION_MARKET_TRADER_CLOTHING])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
07:16:34 [Market] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=) has bought mmg_supplybag_black x1 from the trader "Clothing (Linda [#STR_EXPANSION_MARKET_TRADER_CLOTHING])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) for a price of 10000.
07:17:04 [Market] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=) has send a requested to sell mvs_pack_od x1 at the trader "Clothing (Linda [#STR_EXPANSION_MARKET_TRADER_CLOTHING])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
07:17:04 [Market] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=) has sold mvs_pack_od x1 at the trader "Clothing (Linda [#STR_EXPANSION_MARKET_TRADER_CLOTHING])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 1000.
07:22:39 [Market] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=) has send a requested to purchase mmg_tactical_pants_black x1 from the trader "Clothing (Linda [#STR_EXPANSION_MARKET_TRADER_CLOTHING])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
07:22:39 [Market] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=) has bought mmg_tactical_pants_black x1 from the trader "Clothing (Linda [#STR_EXPANSION_MARKET_TRADER_CLOTHING])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) for a price of 5000.
07:23:39 [Market] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=) has send a requested to sell usmcpants_desert x1 at the trader "Clothing (Linda [#STR_EXPANSION_MARKET_TRADER_CLOTHING])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
07:23:40 [Market] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=) has sold usmcpants_desert x1 at the trader "Clothing (Linda [#STR_EXPANSION_MARKET_TRADER_CLOTHING])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 130.
07:24:17 [Safezone] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs= pos=<4163.148438, 23.113092, 4106.986328>) Left the safezone
07:24:33 [Safezone] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs= pos=<4173.127930, 39.720222, 4109.118652>) Entered the safezone
07:24:38 [Safezone] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs= pos=<4170.871094, 39.747620, 4114.421875>) Entered the safezone
07:24:50 [Safezone] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs= pos=<4169.660645, 39.819794, 4106.975586>) Left the safezone
07:24:55 [Safezone] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs= pos=<4173.045898, 43.352074, 4109.388184>) Entered the safezone
07:25:07 [Safezone] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs= pos=<4164.813965, 43.542519, 4111.485352>) Left the safezone
07:25:14 [Safezone] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs= pos=<4173.411621, 46.984524, 4108.341797>) Entered the safezone
07:25:20 [Safezone] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs= pos=<4171.980957, 47.092396, 4111.798828>) Entered the safezone
07:25:53 [Safezone] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs= pos=<4174.163574, 53.114441, 4106.838379>) Entered the safezone
07:26:08 [Safezone] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs= pos=<4168.527832, 56.046490, 4113.250977>) Left the safezone
07:26:13 [Safezone] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs= pos=<4172.967285, 55.960361, 4109.511230>) Entered the safezone
07:26:22 [Safezone] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs= pos=<4172.028809, 60.414978, 4111.577148>) Entered the safezone
07:26:24 [Safezone] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs= pos=<4171.708496, 63.434856, 4112.421875>) Entered the safezone
07:26:27 [Safezone] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs= pos=<4173.289063, 63.418728, 4108.784180>) Entered the safezone
07:26:35 [Safezone] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs= pos=<4173.309082, 63.418797, 4108.776855>) Entered the safezone
07:26:38 [Safezone] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs= pos=<4171.988281, 63.432613, 4111.718262>) Entered the safezone
07:26:43 [Safezone] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs= pos=<4172.425293, 57.108440, 4110.623535>) Entered the safezone
07:26:51 [Safezone] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs= pos=<4174.319336, 53.105839, 4106.590820>) Entered the safezone
07:27:10 [Safezone] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs= pos=<4163.195313, 33.985680, 4107.000977>) Left the safezone
07:27:22 [Safezone] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs= pos=<4175.431152, 15.957981, 4104.208496>) Entered the safezone
07:28:06 [ATM Locker] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=) has deposited 2832 on his ATM account.
07:30:43 [Market] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=) has send a requested to sell bear_pink x1 at the trader "Clothing (Linda [#STR_EXPANSION_MARKET_TRADER_CLOTHING])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
07:30:43 [Market] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=) has sold bear_pink x1 at the trader "Clothing (Linda [#STR_EXPANSION_MARKET_TRADER_CLOTHING])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 3500.
07:33:29 [Market] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=) has send a requested to purchase twp_optic_aimdot x1 from the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
07:33:29 [Market] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=) has bought twp_optic_aimdot x1 from the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) for a price of 3500.
07:33:52 [Market] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=) has send a requested to sell twp_m200mod_mag_10rnd x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
07:33:52 [Market] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=) has sold twp_m200mod_mag_10rnd x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 141.
07:33:55 [Market] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=) has send a requested to sell twp_m110_mag_20rnd x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
07:33:55 [Market] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=) has sold twp_m110_mag_20rnd x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 268.
07:33:56 [Market] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=) has send a requested to sell twp_m110_mag_20rnd x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
07:33:56 [Market] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=) has sold twp_m110_mag_20rnd x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 239.
07:34:27 [Market] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=) has send a requested to sell twp_optic_aimdot x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
07:34:27 [Market] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=) has sold twp_optic_aimdot x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 525.
07:34:28 [Market] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=) has send a requested to sell twp_optic_aimdot x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
07:34:28 [Market] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=) has sold twp_optic_aimdot x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 525.
07:34:37 [Market] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=) has send a requested to sell twp_oldrifle_optic2 x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
07:34:38 [Market] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=) has sold twp_oldrifle_optic2 x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 262.
07:34:45 [Market] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=) has send a requested to sell twp_pistollight x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
07:34:45 [Market] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=) has sold twp_pistollight x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 100.
07:34:54 [Market] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=) has send a requested to sell twp_ammo_57x28 x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
07:34:55 [Market] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=) has sold twp_ammo_57x28 x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 4.
07:34:55 [Market] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=) has send a requested to sell twp_ammo_57x28 x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
07:34:56 [Market] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=) has sold twp_ammo_57x28 x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 4.
07:34:56 [Market] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=) has send a requested to sell twp_ammo_57x28 x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
07:34:56 [Market] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=) has sold twp_ammo_57x28 x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 4.
07:34:57 [Market] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=) has send a requested to sell twp_ammo_57x28 x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
07:34:57 [Market] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=) has sold twp_ammo_57x28 x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 4.
07:34:57 [Market] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=) has send a requested to sell twp_ammo_57x28 x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
07:34:57 [Market] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=) has sold twp_ammo_57x28 x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 4.
07:34:57 [Market] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=) has send a requested to sell twp_ammo_57x28 x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
07:34:58 [Market] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=) has sold twp_ammo_57x28 x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 4.
07:34:59 [Market] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=) has send a requested to sell twp_ammo_57x28 x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
07:34:59 [Market] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=) has sold twp_ammo_57x28 x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 4.
07:35:17 [Market] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=) has send a requested to sell twp_ammo_57x28 x62 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
07:35:17 [Market] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=) has sold twp_ammo_57x28 x62 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 279.
07:35:29 [Market] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=) has send a requested to sell mag_scout_5rnd x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
07:35:30 [Market] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=) has sold mag_scout_5rnd x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 65.
07:35:31 [Market] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=) has send a requested to sell mag_scout_5rnd x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
07:35:31 [Market] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=) has sold mag_scout_5rnd x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 80.
07:35:52 [Market] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=) has send a requested to sell ammo_9x39 x56 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
07:35:52 [Market] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=) has sold ammo_9x39 x56 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 218.
