16:02:33 [AI Object Patrol] Generating an example config...
16:12:50 [Expansion Quests] - SetupClientData - Loaded existing player quest data for player with UID: O1ls9xvkgGVgSpsA7SQ08AbgbExKG7uZ4JetyMHxTtg=
16:12:50 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 20 - Creator UID: O1ls9xvkgGVgSpsA7SQ08AbgbExKG7uZ4JetyMHxTtg=
16:12:50 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 23 - Creator UID: O1ls9xvkgGVgSpsA7SQ08AbgbExKG7uZ4JetyMHxTtg=
16:34:10 [Safezone] Player "Biffo bear" (id=O1ls9xvkgGVgSpsA7SQ08AbgbExKG7uZ4JetyMHxTtg= pos=<4190.228027, 14.344604, 4243.071289>) Entered the safezone
16:41:53 [Market] Player "Biffo bear" (id=O1ls9xvkgGVgSpsA7SQ08AbgbExKG7uZ4JetyMHxTtg=) has sold ammo_22 x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 2.
16:41:53 [Market] Player "Biffo bear" (id=O1ls9xvkgGVgSpsA7SQ08AbgbExKG7uZ4JetyMHxTtg=) has send a requested to sell ammo_22 x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
16:41:53 [Market] Player "Biffo bear" (id=O1ls9xvkgGVgSpsA7SQ08AbgbExKG7uZ4JetyMHxTtg=) has sold ammo_22 x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 2.
16:41:53 [Market] Player "Biffo bear" (id=O1ls9xvkgGVgSpsA7SQ08AbgbExKG7uZ4JetyMHxTtg=) has send a requested to sell ammo_22 x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
16:41:53 [Market] Player "Biffo bear" (id=O1ls9xvkgGVgSpsA7SQ08AbgbExKG7uZ4JetyMHxTtg=) has sold ammo_22 x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 2.
16:41:54 [Market] Player "Biffo bear" (id=O1ls9xvkgGVgSpsA7SQ08AbgbExKG7uZ4JetyMHxTtg=) has send a requested to sell ammo_22 x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
16:41:54 [Market] Player "Biffo bear" (id=O1ls9xvkgGVgSpsA7SQ08AbgbExKG7uZ4JetyMHxTtg=) has sold ammo_22 x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 2.
16:41:54 [Market] Player "Biffo bear" (id=O1ls9xvkgGVgSpsA7SQ08AbgbExKG7uZ4JetyMHxTtg=) has send a requested to sell ammo_22 x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
16:41:54 [Market] Player "Biffo bear" (id=O1ls9xvkgGVgSpsA7SQ08AbgbExKG7uZ4JetyMHxTtg=) has sold ammo_22 x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 2.
16:41:54 [Market] Player "Biffo bear" (id=O1ls9xvkgGVgSpsA7SQ08AbgbExKG7uZ4JetyMHxTtg=) has send a requested to sell ammo_22 x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
16:41:54 [Market] Player "Biffo bear" (id=O1ls9xvkgGVgSpsA7SQ08AbgbExKG7uZ4JetyMHxTtg=) has sold ammo_22 x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 2.
16:41:54 [Market] Player "Biffo bear" (id=O1ls9xvkgGVgSpsA7SQ08AbgbExKG7uZ4JetyMHxTtg=) has send a requested to sell ammo_22 x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
16:41:54 [Market] Player "Biffo bear" (id=O1ls9xvkgGVgSpsA7SQ08AbgbExKG7uZ4JetyMHxTtg=) has sold ammo_22 x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 2.
16:41:55 [Market] Player "Biffo bear" (id=O1ls9xvkgGVgSpsA7SQ08AbgbExKG7uZ4JetyMHxTtg=) has send a requested to sell ammo_22 x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
16:41:55 [Market] Player "Biffo bear" (id=O1ls9xvkgGVgSpsA7SQ08AbgbExKG7uZ4JetyMHxTtg=) has sold ammo_22 x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 2.
16:41:55 [Market] Player "Biffo bear" (id=O1ls9xvkgGVgSpsA7SQ08AbgbExKG7uZ4JetyMHxTtg=) has send a requested to sell ammo_22 x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
16:41:55 [Market] Player "Biffo bear" (id=O1ls9xvkgGVgSpsA7SQ08AbgbExKG7uZ4JetyMHxTtg=) has sold ammo_22 x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 2.
16:41:55 [Market] Player "Biffo bear" (id=O1ls9xvkgGVgSpsA7SQ08AbgbExKG7uZ4JetyMHxTtg=) has send a requested to sell ammo_22 x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
16:41:55 [Market] Player "Biffo bear" (id=O1ls9xvkgGVgSpsA7SQ08AbgbExKG7uZ4JetyMHxTtg=) has sold ammo_22 x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 2.
16:41:55 [Market] Player "Biffo bear" (id=O1ls9xvkgGVgSpsA7SQ08AbgbExKG7uZ4JetyMHxTtg=) has send a requested to sell ammo_22 x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
16:41:55 [Market] Player "Biffo bear" (id=O1ls9xvkgGVgSpsA7SQ08AbgbExKG7uZ4JetyMHxTtg=) has sold ammo_22 x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 2.
16:41:56 [Market] Player "Biffo bear" (id=O1ls9xvkgGVgSpsA7SQ08AbgbExKG7uZ4JetyMHxTtg=) has send a requested to sell ammo_22 x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
16:41:56 [Market] Player "Biffo bear" (id=O1ls9xvkgGVgSpsA7SQ08AbgbExKG7uZ4JetyMHxTtg=) has sold ammo_22 x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 2.
16:41:56 [Market] Player "Biffo bear" (id=O1ls9xvkgGVgSpsA7SQ08AbgbExKG7uZ4JetyMHxTtg=) has send a requested to sell ammo_22 x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
16:41:56 [Market] Player "Biffo bear" (id=O1ls9xvkgGVgSpsA7SQ08AbgbExKG7uZ4JetyMHxTtg=) has sold ammo_22 x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 2.
16:41:56 [Market] Player "Biffo bear" (id=O1ls9xvkgGVgSpsA7SQ08AbgbExKG7uZ4JetyMHxTtg=) has send a requested to sell ammo_22 x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
16:41:56 [Market] Player "Biffo bear" (id=O1ls9xvkgGVgSpsA7SQ08AbgbExKG7uZ4JetyMHxTtg=) has sold ammo_22 x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 2.
16:41:56 [Market] Player "Biffo bear" (id=O1ls9xvkgGVgSpsA7SQ08AbgbExKG7uZ4JetyMHxTtg=) has send a requested to sell ammo_22 x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
16:41:56 [Market] Player "Biffo bear" (id=O1ls9xvkgGVgSpsA7SQ08AbgbExKG7uZ4JetyMHxTtg=) has sold ammo_22 x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 2.
16:41:57 [Market] Player "Biffo bear" (id=O1ls9xvkgGVgSpsA7SQ08AbgbExKG7uZ4JetyMHxTtg=) has send a requested to sell ammo_22 x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
16:41:57 [Market] Player "Biffo bear" (id=O1ls9xvkgGVgSpsA7SQ08AbgbExKG7uZ4JetyMHxTtg=) has sold ammo_22 x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 2.
16:41:57 [Market] Player "Biffo bear" (id=O1ls9xvkgGVgSpsA7SQ08AbgbExKG7uZ4JetyMHxTtg=) has send a requested to sell ammo_22 x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
16:41:57 [Market] Player "Biffo bear" (id=O1ls9xvkgGVgSpsA7SQ08AbgbExKG7uZ4JetyMHxTtg=) has sold ammo_22 x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 2.
16:41:57 [Market] Player "Biffo bear" (id=O1ls9xvkgGVgSpsA7SQ08AbgbExKG7uZ4JetyMHxTtg=) has send a requested to sell ammo_22 x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
16:41:57 [Market] Player "Biffo bear" (id=O1ls9xvkgGVgSpsA7SQ08AbgbExKG7uZ4JetyMHxTtg=) has sold ammo_22 x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 2.
16:41:57 [Market] Player "Biffo bear" (id=O1ls9xvkgGVgSpsA7SQ08AbgbExKG7uZ4JetyMHxTtg=) has send a requested to sell ammo_22 x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
16:41:58 [Market] Player "Biffo bear" (id=O1ls9xvkgGVgSpsA7SQ08AbgbExKG7uZ4JetyMHxTtg=) has sold ammo_22 x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 2.
16:41:58 [Market] Player "Biffo bear" (id=O1ls9xvkgGVgSpsA7SQ08AbgbExKG7uZ4JetyMHxTtg=) has send a requested to sell ammo_22 x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
16:41:58 [Market] Player "Biffo bear" (id=O1ls9xvkgGVgSpsA7SQ08AbgbExKG7uZ4JetyMHxTtg=) has sold ammo_22 x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 2.
16:41:58 [Market] Player "Biffo bear" (id=O1ls9xvkgGVgSpsA7SQ08AbgbExKG7uZ4JetyMHxTtg=) has send a requested to sell ammo_22 x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
16:41:58 [Market] Player "Biffo bear" (id=O1ls9xvkgGVgSpsA7SQ08AbgbExKG7uZ4JetyMHxTtg=) has sold ammo_22 x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 2.
16:41:58 [Market] Player "Biffo bear" (id=O1ls9xvkgGVgSpsA7SQ08AbgbExKG7uZ4JetyMHxTtg=) has send a requested to sell ammo_22 x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
16:41:58 [Market] Player "Biffo bear" (id=O1ls9xvkgGVgSpsA7SQ08AbgbExKG7uZ4JetyMHxTtg=) has sold ammo_22 x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 2.
16:42:00 [Market] Player "Biffo bear" (id=O1ls9xvkgGVgSpsA7SQ08AbgbExKG7uZ4JetyMHxTtg=) has send a requested to sell ammo_22 x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
16:42:00 [Market] Player "Biffo bear" (id=O1ls9xvkgGVgSpsA7SQ08AbgbExKG7uZ4JetyMHxTtg=) has sold ammo_22 x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 2.
16:42:00 [Market] Player "Biffo bear" (id=O1ls9xvkgGVgSpsA7SQ08AbgbExKG7uZ4JetyMHxTtg=) has send a requested to sell ammo_22 x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
16:42:00 [Market] Player "Biffo bear" (id=O1ls9xvkgGVgSpsA7SQ08AbgbExKG7uZ4JetyMHxTtg=) has sold ammo_22 x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 2.
16:42:00 [Market] Player "Biffo bear" (id=O1ls9xvkgGVgSpsA7SQ08AbgbExKG7uZ4JetyMHxTtg=) has send a requested to sell ammo_22 x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
16:42:00 [Market] Player "Biffo bear" (id=O1ls9xvkgGVgSpsA7SQ08AbgbExKG7uZ4JetyMHxTtg=) has sold ammo_22 x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 2.
16:42:00 [Market] Player "Biffo bear" (id=O1ls9xvkgGVgSpsA7SQ08AbgbExKG7uZ4JetyMHxTtg=) has send a requested to sell ammo_22 x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
16:42:00 [Market] Player "Biffo bear" (id=O1ls9xvkgGVgSpsA7SQ08AbgbExKG7uZ4JetyMHxTtg=) has sold ammo_22 x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 2.
16:42:01 [Market] Player "Biffo bear" (id=O1ls9xvkgGVgSpsA7SQ08AbgbExKG7uZ4JetyMHxTtg=) has send a requested to sell ammo_22 x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
16:42:01 [Market] Player "Biffo bear" (id=O1ls9xvkgGVgSpsA7SQ08AbgbExKG7uZ4JetyMHxTtg=) has sold ammo_22 x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 2.
16:42:01 [Market] Player "Biffo bear" (id=O1ls9xvkgGVgSpsA7SQ08AbgbExKG7uZ4JetyMHxTtg=) has send a requested to sell ammo_22 x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
16:42:01 [Market] Player "Biffo bear" (id=O1ls9xvkgGVgSpsA7SQ08AbgbExKG7uZ4JetyMHxTtg=) has sold ammo_22 x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 2.
